iteration	commit	test_mae	val_mae	params	memory_gb	status	description
0	(baseline)	238.7726	N/A	N/A	N/A	baseline	Initial baseline run (30 pretrain + 10 finetune epochs)
1	c5ec674	330.4117		15169		discard	Gradient clipping max_norm=1.0 (worsened)
2	bd079a9	22.3607		15169		keep	Auxiliary x0 prediction loss (self-consistency) in diffusion pretrain
3	d6d9535	20.9385		15169		keep	Increase x0 self-consistency loss weight 0.05->0.15
5	96e489e	19.0133		15169		keep	Linear beta schedule (1e-4 to 0.02)
4	d3d304e	21.8280		15169		discard	Dropout 0.15->0.05 (slightly worsened)
