country,n_seasons,variant,model_type,elapsed_s,mae,per_horizon_mae,weighted_horizon_score,peak_timing_error,peak_magnitude_error,sir_residual,positivity_violation,trainable_params
US,,pretrain_baseline,lstm,11.8,0.6102091670036316,"[0.14094898104667664, 0.26202720403671265, 0.38359886407852173, 0.48877036571502686, 0.5905070900917053, 0.681692361831665, 0.770964503288269, 0.856776773929596, 0.934104859828949, 0.9927008152008057]",0.5231315856178601,2.1936936378479004,0.8362629413604736,0.1339527082725466,0.12230301648378372,
US,,pretrain_baseline,gru,9.1,0.6713785529136658,"[0.15811944007873535, 0.3109283149242401, 0.4512491226196289, 0.5735699534416199, 0.6817380785942078, 0.776275098323822, 0.8558088541030884, 0.9203235507011414, 0.9744053483009338, 1.0113670825958252]",0.5846551850438118,2.3648648262023926,0.8713605999946594,0.13322411135943793,0.13405171036720276,
US,,pretrain_baseline,tcn,11.6,0.6758003830909729,"[0.15558290481567383, 0.29899710416793823, 0.4769861102104187, 0.6039312481880188, 0.6988016366958618, 0.8120566606521606, 0.8788653016090393, 0.9018083214759827, 0.9643386006355286, 0.9666358828544617]",0.5923612909184561,2.941441535949707,0.8971915245056152,0.13305045917307984,0.15637819468975067,
US,,pretrain_baseline,transformer,7.7,0.6984155774116516,"[0.2143685519695282, 0.3249874711036682, 0.45513078570365906, 0.5555558800697327, 0.7127729654312134, 0.7601292729377747, 0.8470935821533203, 0.9582688212394714, 1.0359585285186768, 1.119890570640564]",0.6063925587468677,2.702702760696411,0.9336755275726318,0.14972090844358119,0.1689445525407791,
US,,pretrain_baseline,seasonal_naive,0.0,0.6807310581207275,"[0.7099707722663879, 0.6978892683982849, 0.6892929673194885, 0.6817901730537415, 0.6763310432434082, 0.6702197194099426, 0.6662041544914246, 0.6654487252235413, 0.6671567559242249, 0.6830070614814758]",0.6842304617166518,1.954954981803894,0.9001979231834412,,0.11986090987920761,
US,,pretrain_diffusion,diffusion,29.1,18.405057907104492,"[7.018555641174316, 13.302818298339844, 18.42578125, 21.853656768798828, 23.761301040649414, 24.1584529876709, 23.14401626586914, 20.76824188232422, 17.250425338745117, 14.367332458496094]",17.795320558547974,3.4594595432281494,26.74614715576172,4.909818279307042,0.0923144593834877,
FRA,1.0,frozen,diffusion,0.0,506.37939453125,"[241.86708068847656, 448.5399169921875, 594.3340454101562, 653.58984375, 657.3347778320312, 625.4205322265625, 569.7899780273438, 502.72930908203125, 419.8427734375, 350.34600830078125]",506.19002202351896,3.9189188480377197,715.912353515625,88.3757620251678,7.472166907973588e-05,0.0
FRA,1.0,naive_full_finetune,diffusion,0.1,416.9256896972656,"[125.08503723144531, 225.09820556640625, 327.69781494140625, 422.3554382324219, 493.1279602050781, 534.65234375, 555.786865234375, 545.4826049804688, 503.9110412597656, 436.05975341796875]",382.030123647054,4.378378391265869,649.2529296875,86.29403091549113,0.39911824464797974,15169.0
FRA,1.0,lora_no_physics,diffusion,0.1,488.43267822265625,"[181.8945770263672, 341.5495910644531, 453.17578125, 517.332763671875, 556.9683837890625, 587.36328125, 609.115966796875, 607.8536987304688, 549.8822631835938, 479.1903381347656]",459.4708608839246,3.8108108043670654,716.3548583984375,91.79965048467724,0.004703588783740997,920.0
FRA,1.0,lora_adjoint_matched,diffusion,0.4,295.6830139160156,"[107.33024597167969, 205.81707763671875, 276.3800048828125, 316.90997314453125, 341.4904479980469, 357.29058837890625, 367.5251159667969, 360.6372985839844, 328.82666015625, 294.6227111816406]",278.26283849080403,4.216216087341309,383.660888671875,45.18233793912909,0.004477614536881447,920.0
FRA,1.0,from_scratch,diffusion,0.1,1440.8414306640625,"[484.3216857910156, 757.181396484375, 1060.81103515625, 1339.7041015625, 1576.5615234375, 1770.9281005859375, 1927.3416748046875, 2010.788818359375, 1916.6739501953125, 1564.1021728515625]",1304.4989988538955,4.0,2256.16845703125,310.42034276025055,0.6674512624740601,15169.0
FRA,1.0,from_scratch_lstm,lstm,0.2,19.214157104492188,"[16.2869815826416, 17.49068260192871, 18.424026489257812, 18.646770477294922, 18.66852569580078, 18.806880950927734, 19.293439865112305, 20.37735939025879, 21.507434844970703, 22.63947105407715]",18.674520079294844,4.405405521392822,35.31473922729492,6.47717832886063,0.0,100929.0
FRA,1.0,from_scratch_gru,gru,0.2,18.993688583374023,"[14.079180717468262, 15.876505851745605, 17.131677627563477, 18.356725692749023, 19.048851013183594, 19.562530517578125, 20.07284164428711, 21.019817352294922, 21.902935028076172, 22.885822296142578]",18.179535971747505,3.675675630569458,31.928802490234375,7.938925340268705,0.0,75713.0
FRA,1.0,from_scratch_tcn,tcn,0.1,40.091007232666016,"[20.776538848876953, 27.311635971069336, 31.392452239990234, 25.00686264038086, 32.8992805480957, 51.03020095825195, 61.35530471801758, 63.5998649597168, 50.83772277832031, 36.70020294189453]",36.778735023074674,3.8378379344940186,51.8851318359375,19.97562575948847,1.3115460872650146,15818.0
FRA,1.0,from_scratch_transformer,transformer,0.1,22.416776657104492,"[18.019386291503906, 23.546676635742188, 27.804588317871094, 26.25466537475586, 23.748090744018555, 22.243694305419922, 21.490854263305664, 21.710752487182617, 20.88275146484375, 18.466312408447266]",22.75505584081014,3.7837836742401123,26.55259895324707,9.900912286044957,0.3848624527454376,70282.0
FRA,2.0,frozen,diffusion,0.0,479.8896484375,"[193.4540557861328, 360.4846496582031, 480.9608459472656, 553.229736328125, 593.1390380859375, 609.4788818359375, 595.2144775390625, 547.5548706054688, 469.3501281738281, 396.030029296875]",462.886858537462,4.0,659.0552978515625,81.77204582277808,0.0011637172428891063,0.0
FRA,2.0,naive_full_finetune,diffusion,0.2,6409.7353515625,"[2465.427001953125, 4470.64453125, 6233.60400390625, 7394.53955078125, 7949.9072265625, 8077.45263671875, 7950.3701171875, 7509.2607421875, 6665.97900390625, 5380.1640625]",6133.216578504775,3.729729652404785,8548.5859375,1054.0178975554343,0.0,15169.0
FRA,2.0,lora_no_physics,diffusion,0.1,440.2038879394531,"[177.07176208496094, 332.5170593261719, 450.5724182128906, 511.6512451171875, 541.5525512695312, 544.7178344726562, 528.69091796875, 498.8626403808594, 437.54962158203125, 378.8526916503906]",424.38725357055665,3.8378379344940186,633.3275756835938,82.87265402600168,0.037622999399900436,920.0
FRA,2.0,lora_adjoint_matched,diffusion,0.6,107.05704498291016,"[57.15916061401367, 108.07986450195312, 139.67901611328125, 150.8101806640625, 147.41061401367188, 129.64244079589844, 109.62419891357422, 91.37145233154297, 74.27919006347656, 62.5142936706543]",110.23077706231011,3.675675630569458,181.6942901611328,26.539305462348235,0.01815473474562168,920.0
FRA,2.0,from_scratch,diffusion,0.2,6889.1796875,"[2932.728515625, 4899.84619140625, 6860.39794921875, 8234.6337890625, 8966.4091796875, 9097.6220703125, 8711.4931640625, 7852.42578125, 6491.88134765625, 4844.35546875]",6695.452574327256,3.4864864349365234,9608.455078125,1290.972904046314,0.4512598514556885,15169.0
FRA,2.0,from_scratch_lstm,lstm,0.3,19.161718368530273,"[15.933268547058105, 17.20038604736328, 18.167179107666016, 18.70026206970215, 18.876670837402344, 19.15035057067871, 19.55194854736328, 20.43331527709961, 21.27313804626465, 22.330671310424805]",18.60480065345764,4.405405521392822,33.8519287109375,7.220244431624541,0.0,100929.0
FRA,2.0,from_scratch_gru,gru,0.3,19.23936653137207,"[14.509397506713867, 16.323060989379883, 17.509319305419922, 18.77863121032715, 19.539657592773438, 19.9561824798584, 20.336793899536133, 21.05459976196289, 21.71812629699707, 22.66788673400879]",18.49486960305108,4.324324131011963,31.027551651000977,8.452739180974415,0.0,75713.0
FRA,2.0,from_scratch_tcn,tcn,0.2,43.253997802734375,"[16.677371978759766, 26.812084197998047, 34.303043365478516, 37.60528564453125, 34.57096481323242, 49.34124755859375, 61.312705993652344, 70.26264953613281, 56.55891799926758, 45.09571075439453]",39.20020118289524,3.5405404567718506,58.78852081298828,21.201274892577775,2.2470779418945312,15818.0
FRA,2.0,from_scratch_transformer,transformer,0.2,21.641281127929688,"[17.008575439453125, 21.54509162902832, 24.638906478881836, 25.663158416748047, 24.6993465423584, 23.613529205322266, 20.818967819213867, 20.5097599029541, 19.578142166137695, 18.337326049804688]",21.852802658081053,3.5675675868988037,28.257640838623047,8.814680367794121,0.2513989806175232,70282.0
FRA,3.0,frozen,diffusion,0.0,520.1341552734375,"[226.5800323486328, 422.064453125, 560.097900390625, 627.3004150390625, 648.6748046875, 643.9766845703125, 616.6617431640625, 565.4327392578125, 483.3438415527344, 407.2089538574219]",508.7748452928332,3.4864864349365234,700.9283447265625,86.56070897192255,0.004648891743272543,0.0
